id,state,body,address,level,type,statement_content,target_1,target_2,target_3,target_4,target_5,prohibited_1,prohibited_2,prohibited_3,prohibited_4,required_1,required_2,required_3,trigger_1,trigger_2,trigger_3,trigger_4,trigger_5,trigger_6,trigger_7,enforcement_1,enforcement_2,category,bill,related,date_intro,date_adopted,date_checked,progress,url_source,url_text
AL-8,AL,Legislature,,State,Legislation,N/A,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Race or ethnicity & sex,Senate Bill 7,,8/10/2021,,4/13/2022,Pending,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.ASPX?BILL=SB7&WIN_TYPE=BillResult,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2022RS/PrintFiles/SB7-int.pdf
AL-9,AL,Legislature,,State,Legislation,N/A,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Race or ethnicity, sex & more",House Bill 312,House Resolution 175,2/8/2022,,4/13/2022,Pending,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.ASPX?BILL=HB312&WIN_TYPE=BillResult,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2022RS/PrintFiles/HB312-int.pdf
AL-10,AL,Legislature,,State,Legislation,N/A,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"Race or ethnicity, sex & more",Senate Bill 292,,3/3/2022,,4/13/2022,Expired or Withdrawn,http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.ASPX?BILL=SB292&WIN_TYPE=BillResult,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2022RS/PrintFiles/SB292-int.pdf
AL-11,AL,Legislature,,State,Statement,Denounces CRT,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Race or ethnicity only,,,1/5/2022,1/5/2022,4/19/2022,Enacted,https://twitter.com/erindavisnews/status/1478760451706085391?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1478760451706085391%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.wsfa.com%2F2022%2F01%2F05%2Fhouse-republicans-determine-areas-importance-legislative-session%2F,https://twitter.com/erindavisnews/status/1478760451706085391?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1478760451706085391%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.wsfa.com%2F2022%2F01%2F05%2Fhouse-republicans-determine-areas-importance-legislative-session%2F
AR-1,AR,Legislature,,State,Legislation,N/A,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Race or ethnicity & sex,Senate Bill 627/Act 1100,,4/1/2021,5/3/2021,4/13/2022,Enacted,https://www.arkleg.state.ar.us/Bills/Detail?tbType=&id=sb627&ddBienniumSession=2021%2F2021R,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=1100.pdf&ddBienniumSession=2021%2F2021R
AR-2,AR,Legislature,,State,Legislation,N/A,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Race or ethnicity only,House Bill 1761,,3/16/2021,,4/13/2022,Expired or Withdrawn,https://www.arkleg.state.ar.us/Bills/Detail?id=HB1761&ddBienniumSession=2021%2F2021R,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2021R%2FPublic%2FHB1761.pdf
AR-3,AR,Legislature,,State,Legislation,N/A,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Race or ethnicity only,House Bill 1231,,1/21/2021,,4/13/2022,Expired or Withdrawn,https://www.arkleg.state.ar.us/Bills/Detail?id=HB1231&chamber=House&ddBienniumSession=2021%2F2021R,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2021R%2FPublic%2FHB1231.pdf
AR-4,AR,Legislature,,State,Legislation,N/A,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Race or ethnicity, sex & more",House Bill 1218,,1/19/2021,,4/13/2022,Expired or Withdrawn,https://www.arkleg.state.ar.us/Bills/Detail?id=HB1218&ddBienniumSession=2021/2021R,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2021R%2FPublic%2FHB1218.pdf
AR-5,AR,Attorney General Leslie Rutledge,,State,Statement,Denounces CRT,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Race or ethnicity only,,,5/19/2021,5/19/2021,4/13/2022,Enacted,Ê,https://perma.cc/QM8T-9EKQ
AR-8,AR,Legislature,,State,Legislation,N/A,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Race or ethnicity & sex,Senate Bill 12 ,Senate Resolution 6,12/7/2021,,4/13/2022,Expired or Withdrawn,"https://www.arkleg.state.ar.us/Bills/Detail?id=SB12&ddBienniumSession=2021%2F2021S2#:~:text=SB12%20%2D%20TO%20PROHIBIT%20THE%20PROPAGATION,AND%20TO%20DECLARE%20AN%20EMERGENCY.",https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2021S2%2FPublic%2FSB12.pdf
AR-9,AR,Legislature,,State,Legislation,N/A,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Race or ethnicity only,House Bill 1011,,12/8/2021,,4/13/2022,Expired or Withdrawn,https://www.arkleg.state.ar.us/Bills/Detail?id=HB1011&chamber=House&ddBienniumSession=2021%2F2021S2,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2021S2%2FPublic%2FHB1011.pdf
AR-11,AR,Attorney General Leslie Rutledge,,State,Attorney General Letter,N/A,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Race or ethnicity only,,,8/16/2021,8/16/2021,4/13/2022,Enacted,Ê,https://content.govdelivery.com/attachments/ARAG/2021/08/16/file_attachments/1907584/2021-042%20%2808.16.21%29.pdf
AZ-1,AZ,Legislature,,State,Legislation,N/A,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Race or ethnicity & sex,Senate Bill 1532,,4/30/2021,,4/13/2022,Pending,https://apps.azleg.gov/BillStatus/BillOverview/75647,https://www.azleg.gov/legtext/55leg/1R/bills/SB1532H.pdf
AZ-2,AZ,Legislature,,State,Legislation,N/A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,Senate Bill 1058,,1/6/2021,,4/13/2022,Pending,https://apps.azleg.gov/BillStatus/BillOverview/74364,https://www.azleg.gov/legtext/55leg/1R/bills/SB1058S.pdf
AZ-3,AZ,Attorney General Brnovich,,State,Statement,Denounces CRT,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Race or ethnicity only,,,5/19/2021,5/19/2021,4/13/2022,Enacted,,https://perma.cc/QM8T-9EKQ
AZ-5,AZ,Legislature,,State,Legislation,N/A,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Race or ethnicity & sex,House Bill 2906,Senate Bill 1840,6/1/2021,6/30/2021,4/13/2022,Enacted,https://apps.azleg.gov/BillStatus/BillOverview/76158,https://www.azleg.gov/legtext/55leg/1R/laws/0427.pdf
AZ-6,AZ,Legislature,,State,Legislation,N/A,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Race or ethnicity & sex,Senate Bill 1074,,1/20/2021,,4/13/2022,Rejected,https://apps.azleg.gov/BillStatus/BillOverview/74417,https://www.azleg.gov/legtext/55leg/1R/bills/SB1074H.pdf
AZ-8,AZ,Legislature,,State,Legislation,N/A,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Race or ethnicity & sex,Senate Bill 2898,,5/24/2021,6/30/2021,4/13/2022,Enacted,https://apps.azleg.gov/BillStatus/BillOverview/76131,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/viewer.html?pdfurl=https%3A%2F%2Fwww.azleg.gov%2Flegtext%2F55leg%2F1R%2Fbills%2FHB2898H.pdf&clen=682537&chunk=true
AZ-10,AZ,Continental Elementary School District,"1991 E Whitehouse Canyon Rd, Green Valley, AZ85614",LocalSch,Resolution,N/A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Race or ethnicity only,,,6/14/2021,6/14/2021,4/13/2022,Enacted,https://perma.cc/963X-VGSX,https://perma.cc/963X-VGSX
AZ-11,AZ,Legislature,,State,Legislation,N/A,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Race or ethnicity & sex,House Concurrent Resolution 2001,,1/10/2022,,4/13/2022,Pending,https://apps.azleg.gov/BillStatus/BillOverview/76477,https://www.azleg.gov/legtext/55leg/2R/bills/HCR2001H.pdf
AZ-12,AZ,Legislature,,State,Legislation,N/A,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Race or ethnicity & sex,House Bill 2112,,1/10/2022,,4/13/2022,Pending,https://apps.azleg.gov/BillStatus/BillOverview/76477,https://www.azleg.gov/legtext/55leg/2R/bills/HB2112H.pdf
AZ-13,AZ,Legislature,,State,Legislation,N/A,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Race or ethnicity & sex,House Bill 2291,,1/13/2022,,4/13/2022,Pending,https://apps.azleg.gov/BillStatus/BillOverview/76477,https://www.azleg.gov/legtext/55leg/2R/bills/HB2291P.pdf
AZ-14,AZ,Legislature,,State,Legislation,N/A,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A,House Bill 2370,,1/13/2022,,4/13/2022,Pending,https://apps.azleg.gov/BillStatus/BillOverview/76477,https://www.azleg.gov/legtext/55leg/2R/bills/HB2370P.pdf
AZ-15,AZ,Legislature,,State,Legislation,N/A,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A,Senate Bill 1211,,1/14/2022,,4/13/2022,Pending,https://apps.azleg.gov/BillStatus/BillOverview/76477,https://www.azleg.gov/legtext/55leg/2R/bills/SB1211S.pdf
AZ-16,AZ,Legislature,,State,Legislation,N/A,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,House Bill 2247,,1/12/2022,,4/13/2022,Pending,https://apps.azleg.gov/BillStatus/BillOverview/76477,https://www.azleg.gov/legtext/55leg/2R/bills/HB2247P.pdf
AZ-17,AZ,Casa Grande Elementary School District,"220 W Kortsen Rd Casa Grande, AZ 85122-5910",LocalSch,Statement,CRT Not Taught,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Race or ethnicity only,,,10/15/2021,10/15/2021,4/13/2022,Enacted,,https://www.pinalcentral.com/casa_grande_dispatch/area_news/cgesd-no-critical-race-theory-in-curriculum/article_a52621d6-680c-50c8-b916-53375e7c90dc.html
CA-2,CA,Corona-Norca Unified School District,"2820 Clark Ave, Norco, CA",LocalSch,Resolution,N/A,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Race or ethnicity only,,,8/5/2021,,4/13/2022,Rejected,,https://perma.cc/H6GZ-MADG
CA-3,CA,Paso Robles School Board,"800 Niblick Road, Paso Robles, CA 93446",LocalSch,Resolution,N/A,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Race or ethnicity & sex,,,7/22/2021,8/11/2021,4/13/2022,Enacted,https://perma.cc/2Q4W-B8GG,https://perma.cc/2Q4W-B8GG
